asis_table,asis_column,asis_type,tobe_table,tobe_column,tobe_type,strategy,rule_sql,default_value,notes
HR.M_EMPLOYEE,OBSOLETE_FLAG,CHAR(1),,,,skip,,,TO-BE 에서 폐기. status='retired' 로 충분.
,,,public.employees,tenant_id,INTEGER,default,,1,신규: 멀티 테넌트 시드값.
,,,public.employees,mfa_enabled,BOOLEAN,default,,false,신규: MFA 기본 비활성.
,,,public.employees,is_deleted,BOOLEAN,default,,false,신규: 논리 삭제 플래그.
,,,public.employees,version,INTEGER,default,,1,신규: 낙관적 락 초기값.
HR.M_DEPARTMENT,DEPT_CD,CHAR(4),public.departments,department_code,CHAR(4),expression,de.DEPT_CD,,원본 코드 보존 (UNIQUE).
HR.M_DEPARTMENT,DEPT_NM,VARCHAR2(80),public.departments,department_name,VARCHAR(120),expression,TRIM(de.DEPT_NM),,길이 확장 + TRIM.
HR.M_DEPARTMENT,PARENT_CD,CHAR(4),public.departments,parent_id,INTEGER,expression,(SELECT d2.department_id FROM public.departments d2 WHERE d2.department_code = de.PARENT_CD),,LOOKUP self-reference.
HR.M_DEPARTMENT,LEVEL_NO,NUMBER(2),public.departments,level_no,SMALLINT,expression,de.LEVEL_NO,,NUMBER(2) → SMALLINT.
HR.M_DEPARTMENT,ENTRY_TS,CHAR(14),public.departments,created_at,TIMESTAMP,expression,"TO_TIMESTAMP(de.ENTRY_TS, 'YYYYMMDDHH24MISS')",,
HR.M_DEPARTMENT,UPDATE_TS,CHAR(14),public.departments,updated_at,TIMESTAMP,expression,"TO_TIMESTAMP(de.UPDATE_TS, 'YYYYMMDDHH24MISS')",,
,,,public.departments,department_id,INTEGER,expression,NEXTVAL('departments_seq'),,BIGSERIAL 채번 (실 운영은 BIGSERIAL identity).
,,,public.departments,is_deleted,BOOLEAN,default,,false,신규: 논리 삭제.
CRM.T_CONTACT_LOG,CONTACT_ID,NUMBER(12),public.contact_log,contact_id,BIGINT,expression,cl.CONTACT_ID,,NUMBER(12) → BIGINT.
CRM.T_CONTACT_LOG,EMP_ID,CHAR(8),public.contact_log,employee_id,UUID,expression,(SELECT e.employee_id FROM public.employees e WHERE e.emp_no = cl.EMP_ID),,LOOKUP: EMP_ID → employees.employee_id.
CRM.T_CONTACT_LOG,CONTACT_DT,CHAR(14),public.contact_log,contact_at,TIMESTAMP,expression,"TO_TIMESTAMP(cl.CONTACT_DT, 'YYYYMMDDHH24MISS')",,
CRM.T_CONTACT_LOG,KIND_CD,CHAR(2),public.contact_log,kind,VARCHAR(16),expression,CASE cl.KIND_CD WHEN 'CL' THEN 'CALL' WHEN 'EM' THEN 'EMAIL' WHEN 'VS' THEN 'VISIT' END,,코드 → 풀네임 매핑.
CRM.T_CONTACT_LOG,MEMO,CLOB,public.contact_log,memo,TEXT,expression,cl.MEMO,,CLOB → TEXT.
CRM.T_CONTACT_LOG,ATTACHMENT_NM,VARCHAR2(200),public.contact_log,has_attachment,BOOLEAN,expression,(cl.ATTACHMENT_NM IS NOT NULL),,boolean derive.
CRM.T_CONTACT_LOG,ENTRY_TS,CHAR(14),public.contact_log,created_at,TIMESTAMP,expression,"TO_TIMESTAMP(cl.ENTRY_TS, 'YYYYMMDDHH24MISS')",,
CRM.T_CONTACT_LOG,CONTACT_ID,NUMBER(12),public.contact_attachment,contact_id,BIGINT,expression,cl.CONTACT_ID,,분할 FK (ATTACHMENT_NM IS NOT NULL 행만).
CRM.T_CONTACT_LOG,ATTACHMENT_NM,VARCHAR2(200),public.contact_attachment,filename,VARCHAR(200),expression,cl.ATTACHMENT_NM,,분할 대상.
CRM.T_CONTACT_LOG,ATTACHMENT_BYTES,BLOB,public.contact_attachment,content,BYTEA,expression,cl.ATTACHMENT_BYTES,,BLOB → BYTEA.
CRM.T_CONTACT_LOG,ENTRY_TS,CHAR(14),public.contact_attachment,created_at,TIMESTAMP,expression,"TO_TIMESTAMP(cl.ENTRY_TS, 'YYYYMMDDHH24MISS')",,
,,,public.contact_attachment,attachment_id,BIGSERIAL,expression,NEXTVAL('contact_attachment_seq'),,BIGSERIAL 채번.
