trade_id,settlement_date,account_id,settlement_amount,fee,status,settled_at,created_at
130,2024-11-07,69,62291436.23,62291.44,S,2024-11-07 15:00:00,2024-11-07 10:59:44
120,2024-08-22,164,10184773.31,10184.77,S,2024-08-22 13:00:00,2024-08-22 17:50:52
62,2023-10-12,162,53023418.92,53023.42,P,,2023-10-12 22:18:56
73,2024-04-29,41,38084976.75,38084.98,S,2024-04-29 17:00:00,2024-04-29 01:55:48
121,2024-08-10,89,13177835.11,13177.84,F,,2024-08-10 08:07:21
135,2023-12-06,46,52391286.99,52391.29,P,,2023-12-06 23:38:30
25,2023-05-26,134,468762.39,468.76,S,2023-05-26 10:00:00,2023-05-26 12:28:30
86,2024-05-27,115,69698777.35,69698.78,S,2024-05-27 11:00:00,2024-05-27 12:11:41
141,2024-10-26,120,77570271.85,77570.27,S,2024-10-26 13:00:00,2024-10-26 01:29:33
189,2023-09-13,1,42999716.59,42999.72,S,2023-09-13 15:00:00,2023-09-13 04:18:59
131,2024-11-04,52,59329496.91,59329.5,S,2024-11-04 14:00:00,2024-11-04 06:56:14
32,2024-09-30,155,2345889.9,2345.89,F,,2024-09-30 07:33:30
74,2023-02-26,57,33013891.91,33013.89,S,2023-02-26 15:00:00,2023-02-26 07:22:03
139,2024-10-03,38,23215939.99,23215.94,S,2024-10-03 11:00:00,2024-10-03 20:16:15
142,2023-02-10,70,31293268.71,31293.27,S,2023-02-10 12:00:00,2023-02-10 19:31:46
108,2023-05-23,33,838318.9,838.32,P,,2023-05-23 17:10:14
3,2024-10-02,103,220532815.42,220532.82,S,2024-10-02 09:00:00,2024-10-02 13:34:57
18,2024-09-06,2,6187013.32,6187.01,P,,2024-09-06 06:50:08
64,2024-07-11,124,33537556.91,33537.56,P,,2024-07-11 14:15:10
102,2024-09-05,86,37051127.4,37051.13,S,2024-09-05 16:00:00,2024-09-05 01:42:54
136,2023-08-02,166,368128.78,368.13,P,,2023-08-02 19:22:52
59,2023-11-24,53,56696590.98,56696.59,S,2023-11-24 15:00:00,2023-11-24 23:33:15
196,2023-01-31,103,60684044.11,60684.04,S,2023-01-31 17:00:00,2023-01-31 00:49:51
89,2023-10-29,28,10450554.76,10450.55,S,2023-10-29 12:00:00,2023-10-29 21:18:42
152,2023-04-17,113,17252066.62,17252.07,S,2023-04-17 17:00:00,2023-04-17 20:47:21
143,2024-06-30,48,24831219.8,24831.22,S,2024-06-30 11:00:00,2024-06-30 23:08:28
119,2023-08-07,18,23695791.02,23695.79,S,2023-08-07 14:00:00,2023-08-07 13:34:57
158,2024-01-24,75,10232790.33,10232.79,S,2024-01-24 14:00:00,2024-01-24 12:46:17
110,2023-05-01,11,18446817.99,18446.82,S,2023-05-01 17:00:00,2023-05-01 23:32:41
85,2023-01-17,77,14272881.22,14272.88,P,,2023-01-17 15:42:21
54,2023-02-26,33,8717217.94,8717.22,S,2023-02-26 12:00:00,2023-02-26 15:59:35
178,2023-09-26,96,170055014.44,170055.01,F,,2023-09-26 04:54:17
191,2023-02-23,61,113131926.39,113131.93,S,2023-02-23 10:00:00,2023-02-23 13:27:35
172,2024-04-18,60,218414661.13,218414.66,P,,2024-04-18 22:47:09
63,2023-03-12,149,139373326.53,139373.33,P,,2023-03-12 05:47:45
168,2023-11-24,160,35603621.89,35603.62,S,2023-11-24 15:00:00,2023-11-24 12:23:12
162,2023-08-04,84,150291721.13,150291.72,S,2023-08-04 15:00:00,2023-08-04 21:01:00
43,2024-04-15,163,4585023.57,4585.02,P,,2024-04-15 22:53:13
197,2023-04-29,94,57403182.86,57403.18,S,2023-04-29 13:00:00,2023-04-29 16:28:17
155,2023-09-06,37,180232908.24,180232.91,P,,2023-09-06 23:55:59
31,2023-07-15,47,122352797.3,122352.8,S,2023-07-15 17:00:00,2023-07-15 06:47:21
56,2024-04-22,98,17975327.81,17975.33,P,,2024-04-22 19:09:45
65,2023-05-10,162,167019106.07,167019.11,P,,2023-05-10 07:25:13
78,2023-10-13,81,1750153.94,1750.15,S,2023-10-13 17:00:00,2023-10-13 10:55:05
17,2024-05-31,6,53322237.02,53322.24,S,2024-05-31 11:00:00,2024-05-31 07:56:50
20,2024-06-29,131,9220338.76,9220.34,S,2024-06-29 14:00:00,2024-06-29 22:03:25
151,2023-09-07,99,58831154.23,58831.15,S,2023-09-07 14:00:00,2023-09-07 11:58:11
97,2023-11-04,7,4238181.28,4238.18,S,2023-11-04 09:00:00,2023-11-04 13:32:43
166,2024-03-11,176,131853699.25,131853.7,P,,2024-03-11 00:08:55
9,2024-08-19,124,11510596.91,11510.6,P,,2024-08-19 03:44:32
176,2024-08-30,61,28208497.25,28208.5,S,2024-08-30 11:00:00,2024-08-30 13:10:35
181,2023-05-10,136,29743666.98,29743.67,P,,2023-05-10 01:39:04
154,2023-08-22,93,99958337.5,99958.34,S,2023-08-22 10:00:00,2023-08-22 14:38:21
2,2024-03-07,35,24032809.71,24032.81,S,2024-03-07 15:00:00,2024-03-07 22:52:00
183,2023-11-08,10,32681395.95,32681.4,S,2023-11-08 15:00:00,2023-11-08 18:12:51
50,2023-08-06,10,59424819.7,59424.82,S,2023-08-06 15:00:00,2023-08-06 13:43:21
88,2023-08-06,38,54136940.31,54136.94,F,,2023-08-06 12:03:58
105,2023-04-20,170,70633260.59,70633.26,P,,2023-04-20 15:22:14
150,2023-09-20,55,11643060.26,11643.06,S,2023-09-20 09:00:00,2023-09-20 07:19:24
145,2024-04-24,130,24304417.52,24304.42,S,2024-04-24 10:00:00,2024-04-24 12:07:27
98,2023-04-10,135,4015281.75,4015.28,S,2023-04-10 11:00:00,2023-04-10 04:54:42
174,2024-09-02,82,46321660.58,46321.66,S,2024-09-02 11:00:00,2024-09-02 15:17:16
41,2023-11-02,56,49084580.11,49084.58,F,,2023-11-02 02:58:31
185,2024-02-25,132,124860876.68,124860.88,S,2024-02-25 17:00:00,2024-02-25 11:17:17
47,2024-04-15,165,18001138.35,18001.14,S,2024-04-15 12:00:00,2024-04-15 19:33:15
175,2024-10-06,62,94177866.48,94177.87,P,,2024-10-06 01:25:55
68,2024-11-23,178,64867557.05,64867.56,S,2024-11-23 12:00:00,2024-11-23 04:18:38
188,2023-08-09,125,14853213.45,14853.21,S,2023-08-09 14:00:00,2023-08-09 02:59:42
21,2023-04-29,108,103712572.53,103712.57,S,2023-04-29 17:00:00,2023-04-29 22:25:14
169,2024-11-28,19,123633371.81,123633.37,P,,2024-11-28 17:39:34
163,2023-10-04,13,213284103.15,213284.1,S,2023-10-04 14:00:00,2023-10-04 03:24:52
127,2023-08-10,68,82839438.44,82839.44,P,,2023-08-10 01:05:05
26,2023-10-12,26,150771861.59,150771.86,S,2023-10-12 09:00:00,2023-10-12 19:48:12
160,2023-11-13,147,182919884.2,182919.88,S,2023-11-13 12:00:00,2023-11-13 17:55:30
198,2024-10-04,44,4688846.45,4688.85,S,2024-10-04 17:00:00,2024-10-04 13:10:02
12,2024-10-13,123,41776759.77,41776.76,S,2024-10-13 09:00:00,2024-10-13 10:29:46
81,2023-01-23,10,36894666.48,36894.67,S,2023-01-23 15:00:00,2023-01-23 23:03:42
33,2023-01-25,2,5391375.04,5391.38,S,2023-01-25 17:00:00,2023-01-25 03:21:21
132,2024-09-07,153,40465140.0,40465.14,S,2024-09-07 14:00:00,2024-09-07 16:53:46
187,2023-12-16,161,4944495.46,4944.5,S,2023-12-16 15:00:00,2023-12-16 02:35:31
13,2024-08-02,129,16073831.59,16073.83,S,2024-08-02 09:00:00,2024-08-02 04:58:11
40,2024-11-13,128,14588638.52,14588.64,S,2024-11-13 12:00:00,2024-11-13 08:43:39
30,2024-03-06,122,191801943.87,191801.94,S,2024-03-06 14:00:00,2024-03-06 17:36:03
103,2023-04-27,112,18177742.48,18177.74,S,2023-04-27 09:00:00,2023-04-27 19:53:31
35,2023-09-08,104,18514999.51,18515.0,S,2023-09-08 12:00:00,2023-09-08 22:22:23
148,2024-10-11,28,78452602.71,78452.6,S,2024-10-11 10:00:00,2024-10-11 22:46:46
5,2023-05-07,58,122442375.81,122442.38,F,,2023-05-07 17:49:48
75,2024-06-27,9,46250421.44,46250.42,S,2024-06-27 14:00:00,2024-06-27 04:32:09
29,2023-11-13,142,45971237.64,45971.24,S,2023-11-13 10:00:00,2023-11-13 12:40:09
38,2023-06-02,110,68961687.85,68961.69,S,2023-06-02 14:00:00,2023-06-02 00:32:08
84,2024-10-08,54,30679014.5,30679.01,S,2024-10-08 12:00:00,2024-10-08 02:29:52
159,2024-10-06,103,5820831.96,5820.83,P,,2024-10-06 03:21:58
111,2024-06-14,180,157315672.07,157315.67,F,,2024-06-14 10:22:02
192,2024-09-29,97,108383109.04,108383.11,S,2024-09-29 10:00:00,2024-09-29 10:29:57
117,2024-10-29,95,28512600.18,28512.6,S,2024-10-29 14:00:00,2024-10-29 09:26:37
22,2024-08-09,121,201604837.84,201604.84,P,,2024-08-09 14:21:48
91,2024-01-06,145,64845349.09,64845.35,P,,2024-01-06 12:28:43
76,2024-06-17,47,6670976.12,6670.98,P,,2024-06-17 14:47:59
165,2023-07-18,87,104411867.43,104411.87,S,2023-07-18 12:00:00,2023-07-18 04:09:23
125,2023-09-13,14,3671002.42,3671.0,S,2023-09-13 12:00:00,2023-09-13 14:12:12
69,2024-10-09,114,158582793.24,158582.79,S,2024-10-09 15:00:00,2024-10-09 02:17:05
157,2023-04-22,27,2019509.4,2019.51,S,2023-04-22 12:00:00,2023-04-22 19:43:26
99,2024-02-26,29,5296162.55,5296.16,S,2024-02-26 15:00:00,2024-02-26 02:52:50
92,2023-02-06,144,14627755.36,14627.76,S,2023-02-06 14:00:00,2023-02-06 14:42:23
129,2024-10-26,144,149809065.45,149809.07,P,,2024-10-26 10:10:36
61,2023-10-01,166,184880703.8,184880.7,P,,2023-10-01 18:52:20
186,2023-06-11,64,102285677.97,102285.68,S,2023-06-11 15:00:00,2023-06-11 19:07:15
194,2023-10-26,169,280389.41,280.39,S,2023-10-26 11:00:00,2023-10-26 20:27:28
57,2023-07-21,48,8551119.05,8551.12,S,2023-07-21 14:00:00,2023-07-21 03:37:32
144,2024-02-18,165,73337385.06,73337.39,S,2024-02-18 09:00:00,2024-02-18 15:48:08
79,2023-03-12,47,31921055.16,31921.06,S,2023-03-12 15:00:00,2023-03-12 22:12:02
55,2024-09-05,112,2168256.47,2168.26,F,,2024-09-05 05:46:36
112,2023-05-29,101,8575748.73,8575.75,S,2023-05-29 10:00:00,2023-05-29 02:40:36
149,2023-06-06,88,1221041.72,1221.04,S,2023-06-06 12:00:00,2023-06-06 03:15:24
14,2024-10-16,152,2779746.98,2779.75,S,2024-10-16 16:00:00,2024-10-16 08:22:53
67,2023-05-17,177,101593093.77,101593.09,S,2023-05-17 09:00:00,2023-05-17 18:22:39
23,2024-02-25,135,144232544.82,144232.54,P,,2024-02-25 03:25:12
