TRADE_ID,ACCOUNT_ID,PRODUCT_ID,TRADE_TYPE_CD,TRADE_QTY,TRADE_PRICE,TRADE_DT,ENTRY_TS
52,127,23,S,3860,47152.8745,2024-03-17,2024-03-17 12:16:38
53,338,22,S,2193,33127.1999,2023-05-02,2023-05-02 15:29:26
54,334,5,B,474,44735.0369,2023-01-21,2023-01-21 15:05:08
55,353,25,B,2118,3604.5221,2023-06-17,2023-06-17 08:34:42
56,361,7,S,2302,25433.2501,2023-06-20,2023-06-20 15:16:19
57,327,22,S,3040,1851.1481,2024-09-27,2024-09-27 10:17:12
58,155,23,B,2655,32233.4387,2023-01-31,2023-01-31 17:57:27
59,75,52,B,1935,21359.4894,2023-02-13,2023-02-13 09:45:17
60,11,15,S,763,3603.7461,2024-07-22,2024-07-22 14:00:51
61,260,1,B,3686,11665.4591,2023-04-02,2023-04-02 13:29:13
62,127,50,B,1958,4590.6486,2023-11-04,2023-11-04 12:28:05
63,275,6,B,1921,5328.2083,2023-07-14,2023-07-14 10:34:19
64,353,38,S,1342,1505.7873,2023-04-02,2023-04-02 13:01:34
65,281,28,B,458,778.1114,2024-09-29,2024-09-29 13:23:59
66,164,27,B,712,35131.9822,2023-05-13,2023-05-13 08:09:41
67,197,2,S,3756,47646.6036,2024-05-16,2024-05-16 11:55:02
68,114,16,S,2598,49805.3773,2024-06-12,2024-06-12 12:26:03
69,355,10,S,3320,29808.5727,2023-03-24,2023-03-24 17:07:17
70,316,13,B,808,703.1271,2024-03-22,2024-03-22 16:59:43
71,256,7,B,2555,33937.7935,2024-08-13,2024-08-13 13:04:38
72,200,54,B,4556,5752.3971,2024-10-24,2024-10-24 15:22:46
73,147,5,S,525,25655.8006,2024-08-30,2024-08-30 11:25:59
74,301,29,B,1725,2427.076,2024-11-21,2024-11-21 17:20:56
75,135,1,S,2134,25815.7518,2023-06-29,2023-06-29 17:54:07
76,205,45,S,437,16695.5861,2023-04-06,2023-04-06 10:54:33
77,248,7,S,3385,10631.8438,2023-04-29,2023-04-29 13:18:23
78,315,33,B,1359,47746.8444,2024-05-29,2024-05-29 17:21:10
79,73,37,S,2203,34674.767,2023-05-17,2023-05-17 17:54:55
80,126,3,S,558,33499.7058,2024-02-06,2024-02-06 12:22:40
81,69,56,B,4116,9502.7634,2023-05-21,2023-05-21 08:22:35
82,298,22,B,131,45149.6657,2024-11-27,2024-11-27 12:50:43
83,205,16,B,2355,27541.9864,2024-11-30,2024-11-30 11:21:40
84,195,32,S,3895,41171.4504,2023-05-12,2023-05-12 13:35:13
85,293,43,S,3936,4495.1569,2024-05-22,2024-05-22 17:14:49
86,327,31,S,1638,13758.438,2023-02-18,2023-02-18 14:39:14
87,185,40,B,2158,34760.0083,2024-10-11,2024-10-11 15:40:40
88,120,37,S,4340,25522.9093,2023-07-25,2023-07-25 10:17:36
89,47,28,B,3402,16485.6272,2023-10-24,2023-10-24 09:50:11
90,162,40,B,4682,2738.1161,2023-09-30,2023-09-30 10:37:21
91,304,53,B,199,17885.7958,2024-11-02,2024-11-02 16:32:11
92,246,15,S,4841,45830.0238,2023-10-28,2023-10-28 17:27:59
93,169,5,B,1270,35220.4337,2023-12-07,2023-12-07 17:20:29
94,34,8,B,2757,17873.3481,2023-03-19,2023-03-19 15:59:12
95,130,48,B,4652,7544.5031,2023-03-27,2023-03-27 10:42:22
96,358,43,B,4578,44435.288,2023-11-14,2023-11-14 10:03:03
97,160,20,S,4867,10065.6116,2024-01-02,2024-01-02 17:39:02
98,159,18,S,1435,21440.4746,2024-10-29,2024-10-29 15:37:05
99,210,56,B,2380,32185.6587,2024-09-29,2024-09-29 15:57:53
100,90,26,B,3711,8130.7707,2023-02-15,2023-02-15 11:30:34
101,299,36,S,1644,29549.8334,2023-12-20,2023-12-20 16:09:01
102,231,25,B,1872,44732.9241,2024-01-20,2024-01-20 13:22:48
103,85,39,B,773,42506.0124,2023-12-05,2023-12-05 14:36:47
104,113,60,B,2113,35240.753,2023-09-10,2023-09-10 17:40:37
105,161,24,S,4568,42883.8341,2023-11-28,2023-11-28 11:19:30
106,144,33,B,1882,44289.3305,2024-09-09,2024-09-09 13:58:21
107,38,1,S,1582,6140.7649,2023-09-10,2023-09-10 11:30:46
108,208,32,S,4553,37159.4129,2023-02-03,2023-02-03 16:56:20
109,126,11,S,3661,10092.7896,2024-09-07,2024-09-07 12:18:40
110,6,53,B,278,5430.336,2024-01-26,2024-01-26 09:58:45
111,187,55,S,1404,23850.0629,2023-11-19,2023-11-19 14:51:23
112,268,59,S,1484,27974.8059,2024-06-22,2024-06-22 14:29:52
113,121,49,S,3278,13932.3127,2023-11-25,2023-11-25 11:41:20
114,21,17,B,1484,33356.5151,2023-08-18,2023-08-18 16:58:33
115,238,19,S,1303,25843.9578,2024-09-19,2024-09-19 14:52:56
116,45,55,S,4002,17498.6812,2023-01-23,2023-01-23 11:36:37
117,145,47,B,3367,719.581,2023-10-29,2023-10-29 09:36:55
118,235,36,B,2196,42353.2599,2024-10-27,2024-10-27 16:05:51
119,203,7,S,4291,47356.3966,2023-10-09,2023-10-09 13:44:43
120,358,6,B,4607,22977.3118,2024-04-07,2024-04-07 08:55:21
121,72,10,S,950,28829.0785,2023-11-26,2023-11-26 17:23:21
122,235,9,S,1545,41248.6829,2023-05-07,2023-05-07 15:45:39
123,237,1,B,670,42797.6769,2023-04-25,2023-04-25 12:45:26
124,168,34,B,732,514.864,2023-12-26,2023-12-26 15:18:30
125,20,44,S,3821,41962.1742,2024-03-03,2024-03-03 14:01:47
126,170,34,S,3213,22032.8333,2023-10-20,2023-10-20 13:52:03
127,336,43,B,78,46920.6615,2024-06-11,2024-06-11 12:41:45
128,163,10,B,238,40451.2005,2023-09-23,2023-09-23 08:31:07
129,16,35,B,1963,22805.9691,2024-03-24,2024-03-24 08:32:22
130,67,34,B,4228,17485.4479,2023-09-14,2023-09-14 17:59:08
131,84,4,S,3378,3209.2767,2023-03-10,2023-03-10 17:24:38
132,146,31,S,3969,2546.5109,2023-05-17,2023-05-17 17:20:04
133,146,34,B,4693,9031.3931,2024-08-16,2024-08-16 08:00:09
134,7,3,S,1581,23266.1517,2023-07-26,2023-07-26 14:59:03
135,345,45,B,4602,18881.9213,2024-09-15,2024-09-15 14:04:27
136,199,12,B,3833,24921.4699,2024-09-12,2024-09-12 10:26:35
137,191,41,B,4937,20146.7562,2024-03-19,2024-03-19 09:39:39
138,311,26,B,4637,28269.741,2023-03-26,2023-03-26 10:46:07
139,337,6,B,2518,16281.4642,2024-02-21,2024-02-21 13:39:24
140,120,34,B,2154,33077.5589,2024-03-08,2024-03-08 13:38:59
141,228,30,S,2880,19048.5643,2024-01-02,2024-01-02 16:08:08
142,191,41,S,3382,5294.4544,2024-10-21,2024-10-21 09:52:44
143,10,51,B,4940,2825.132,2024-07-16,2024-07-16 11:37:26
144,114,55,S,1832,29415.1756,2023-07-01,2023-07-01 13:09:16
145,159,31,S,1558,36836.0248,2023-06-20,2023-06-20 15:32:45
146,93,42,B,2397,11838.9222,2023-10-12,2023-10-12 09:44:24
147,31,21,S,2741,48010.6066,2024-09-25,2024-09-25 10:05:45
148,273,23,S,205,36164.1487,2023-07-07,2023-07-07 10:43:05
149,268,54,B,205,26970.0776,2023-06-02,2023-06-02 14:50:01
150,354,50,B,4649,3647.6243,2024-02-27,2024-02-27 11:03:16
151,376,32,B,4884,20472.7064,2024-06-20,2024-06-20 17:29:26
152,156,8,B,1436,30527.5519,2024-06-16,2024-06-16 09:12:09
153,73,21,B,4369,44105.5582,2024-08-21,2024-08-21 15:44:40
154,324,8,B,433,4582.925,2024-11-14,2024-11-14 14:52:35
155,50,6,S,620,39106.6672,2023-05-21,2023-05-21 11:55:27
156,254,57,S,3781,42536.0591,2023-01-26,2023-01-26 12:55:09
157,285,50,S,2703,11997.971,2023-01-12,2023-01-12 08:24:00
158,80,18,S,2058,40947.2902,2023-08-06,2023-08-06 12:06:38
159,372,8,B,136,7702.8472,2024-03-12,2024-03-12 09:28:15
160,118,17,S,2675,11990.5525,2023-08-12,2023-08-12 11:50:02
161,301,17,S,99,3302.146,2024-07-30,2024-07-30 15:46:35
162,366,13,S,4034,49692.06,2023-04-05,2023-04-05 10:37:02
163,365,2,B,3653,16599.9193,2023-12-06,2023-12-06 10:09:00
164,238,39,B,4854,11225.4414,2024-05-29,2024-05-29 08:07:28
165,168,55,B,4570,1659.8742,2024-04-18,2024-04-18 16:47:06
166,17,55,S,4025,20891.3488,2024-06-19,2024-06-19 13:54:56
167,57,37,B,1712,49139.8419,2024-03-12,2024-03-12 14:44:07
168,125,14,B,111,41152.7814,2023-01-09,2023-01-09 10:30:13
169,160,27,B,3591,15340.271,2024-01-28,2024-01-28 13:05:15
170,231,44,B,923,33589.4576,2024-11-21,2024-11-21 17:16:23
171,286,21,B,216,24192.1817,2024-08-19,2024-08-19 14:39:50
172,313,44,B,1596,43174.0998,2023-12-31,2023-12-31 17:19:03
173,274,28,B,4573,17552.7436,2024-07-08,2024-07-08 11:07:28
174,150,6,S,3078,45543.3608,2023-06-18,2023-06-18 08:41:16
175,3,8,S,2038,48553.2643,2024-08-14,2024-08-14 16:22:44
176,4,50,B,3470,25959.9665,2024-07-02,2024-07-02 16:31:35
177,29,29,B,2064,4980.1105,2024-07-06,2024-07-06 16:17:41
178,259,28,B,2555,27761.9333,2023-08-23,2023-08-23 15:56:39
179,23,56,S,3380,19958.3497,2023-01-18,2023-01-18 17:19:51
180,195,44,B,1095,40730.4045,2023-10-25,2023-10-25 11:23:46
181,322,26,B,2477,32013.1755,2023-07-09,2023-07-09 13:00:48
182,226,5,S,3724,46080.009,2023-03-08,2023-03-08 10:44:57
183,33,3,S,1438,7361.8662,2024-08-13,2024-08-13 17:52:29
184,26,49,S,1968,39187.879,2024-01-21,2024-01-21 16:27:41
185,152,3,S,4315,12067.3682,2024-04-20,2024-04-20 15:26:53
186,161,9,S,4108,24289.2811,2023-09-06,2023-09-06 12:05:31
187,82,2,S,4223,36564.5889,2024-10-08,2024-10-08 15:02:28
188,306,55,B,1288,37621.4114,2023-06-30,2023-06-30 10:12:39
189,86,7,S,2242,7938.5851,2024-09-04,2024-09-04 13:35:02
190,26,32,B,756,26079.4482,2023-10-09,2023-10-09 14:42:08
191,32,40,B,1065,15848.9927,2024-06-23,2024-06-23 12:54:02
192,54,40,B,4525,11476.3155,2023-02-22,2023-02-22 11:14:32
193,201,30,B,4445,43456.0121,2023-03-26,2023-03-26 16:04:56
194,127,16,S,2384,39032.3757,2024-06-30,2024-06-30 12:26:39
195,141,6,B,2793,15543.0716,2024-05-30,2024-05-30 16:46:49
196,311,37,S,3055,4521.9736,2023-11-11,2023-11-11 11:53:48
197,184,37,B,104,44962.313,2023-07-06,2023-07-06 11:09:21
198,262,24,S,1725,26591.7602,2023-11-14,2023-11-14 13:54:30
199,28,5,B,4640,37426.4723,2024-06-18,2024-06-18 15:26:43
200,204,49,S,2547,27092.1734,2023-02-02,2023-02-02 13:09:29
201,252,58,S,2998,39552.7765,2023-03-12,2023-03-12 16:10:21
202,24,3,B,2111,47245.1669,2023-10-02,2023-10-02 13:46:59
203,158,5,S,571,28750.3426,2024-07-25,2024-07-25 08:17:20
204,113,12,B,1287,14747.7041,2024-01-27,2024-01-27 17:19:06
205,284,26,B,4327,1924.9806,2024-10-01,2024-10-01 16:21:55
206,198,46,B,2279,15044.5858,2023-10-10,2023-10-10 14:28:08
207,346,27,B,1770,33111.0742,2023-03-26,2023-03-26 08:37:48
208,7,35,S,4635,48504.2847,2024-08-16,2024-08-16 10:07:33
209,296,32,B,410,1708.964,2023-02-14,2023-02-14 17:48:15
210,126,31,B,4164,17692.3112,2023-08-24,2023-08-24 08:27:36
211,285,51,S,3472,44798.6596,2024-09-15,2024-09-15 13:48:10
212,201,42,B,4789,18460.6841,2023-06-18,2023-06-18 11:22:44
213,25,9,S,2126,40288.5499,2024-08-12,2024-08-12 17:05:47
214,333,27,S,1895,20031.6894,2023-10-08,2023-10-08 09:16:02
215,157,56,S,2266,45186.4576,2023-03-09,2023-03-09 13:58:37
216,225,45,B,568,36988.9188,2023-03-25,2023-03-25 16:24:09
217,212,54,B,2911,47594.3034,2023-05-11,2023-05-11 13:49:38
218,76,59,S,3500,31454.982,2024-06-17,2024-06-17 13:04:27
219,249,47,B,1160,5200.1432,2024-03-13,2024-03-13 14:11:38
220,255,60,B,2685,3135.7006,2024-05-07,2024-05-07 15:59:44
221,319,50,S,3183,21843.3833,2024-07-20,2024-07-20 17:39:56
222,36,41,S,3304,27352.7271,2024-01-08,2024-01-08 14:10:03
223,271,53,S,4680,36190.8169,2023-05-11,2023-05-11 17:32:44
224,289,56,B,157,43037.156,2024-10-23,2024-10-23 09:10:01
225,122,43,B,2653,19383.2842,2024-09-07,2024-09-07 17:13:37
226,244,22,S,4327,23779.9979,2023-07-21,2023-07-21 13:06:12
227,21,60,S,3886,22557.9959,2023-05-18,2023-05-18 12:26:03
228,55,41,S,4190,13865.0473,2023-10-26,2023-10-26 12:20:01
229,208,50,S,2775,18327.0827,2023-03-13,2023-03-13 15:20:02
230,328,54,S,3713,946.6655,2023-12-03,2023-12-03 10:33:03
231,10,46,B,4290,36297.5839,2023-12-24,2023-12-24 12:28:16
232,246,46,B,4697,25055.0843,2023-01-30,2023-01-30 08:01:05
233,306,13,B,3871,3034.5773,2024-05-05,2024-05-05 15:29:28
234,218,39,S,870,32412.571,2024-10-11,2024-10-11 08:39:39
235,218,34,S,2321,35169.01,2024-02-01,2024-02-01 08:09:44
236,344,45,S,2461,19936.7106,2024-07-21,2024-07-21 15:29:36
237,215,39,B,1393,15332.0854,2023-09-16,2023-09-16 08:10:30
238,13,48,S,3915,9026.7421,2023-12-22,2023-12-22 15:55:05
239,149,44,B,4342,1881.1427,2024-09-22,2024-09-22 17:11:00
240,231,7,S,1638,6527.4357,2023-01-24,2023-01-24 11:18:21
241,152,60,S,344,19753.7303,2024-10-30,2024-10-30 11:20:45
242,64,30,B,2762,46241.1841,2023-05-05,2023-05-05 11:30:33
243,338,15,B,1360,27107.6466,2023-01-14,2023-01-14 16:48:17
244,175,39,B,2455,13742.2337,2023-06-06,2023-06-06 15:44:03
245,75,43,B,3683,8452.5008,2023-11-19,2023-11-19 09:07:27
246,379,34,S,3078,42883.5421,2023-12-18,2023-12-18 10:22:13
247,306,53,S,2069,43187.6211,2024-07-01,2024-07-01 15:55:21
248,132,28,S,4627,22107.2452,2023-03-17,2023-03-17 11:39:38
249,228,3,B,3679,7286.2724,2023-12-30,2023-12-30 10:11:11
250,359,7,S,1004,18400.4326,2024-11-21,2024-11-21 08:49:49
251,62,45,S,4205,12339.4718,2024-09-15,2024-09-15 16:34:39
252,370,44,S,3558,36751.0736,2023-03-29,2023-03-29 15:46:00
253,290,41,B,365,49257.3093,2023-08-04,2023-08-04 11:55:04
254,79,32,B,4488,10222.9776,2024-11-04,2024-11-04 09:04:22
255,173,49,B,2136,16150.407,2023-04-09,2023-04-09 14:37:24
256,231,23,S,4765,16903.8123,2023-09-06,2023-09-06 11:56:32
257,183,17,B,3869,41686.204,2024-10-31,2024-10-31 15:03:55
258,281,12,B,1381,49085.2055,2024-04-21,2024-04-21 16:49:52
259,342,49,S,1847,33160.6457,2023-02-05,2023-02-05 08:08:38
260,337,27,S,3156,22346.3893,2023-11-10,2023-11-10 09:44:24
261,324,25,B,1481,485.2426,2024-02-21,2024-02-21 11:07:34
262,156,29,B,1759,27514.3297,2023-02-08,2023-02-08 17:11:13
263,38,7,S,1698,522.3155,2024-01-13,2024-01-13 16:38:25
264,303,5,B,992,17754.9552,2024-01-01,2024-01-01 17:46:25
265,320,13,S,1295,20587.2186,2024-10-18,2024-10-18 16:20:19
266,379,59,S,2540,43074.4366,2024-03-31,2024-03-31 11:23:26
267,69,9,S,3881,36296.1472,2024-03-04,2024-03-04 12:55:37
268,67,45,S,2383,16674.2054,2023-06-13,2023-06-13 10:22:29
269,109,38,S,2316,12052.067,2024-11-29,2024-11-29 09:46:23
270,343,21,B,4075,15057.7553,2024-11-05,2024-11-05 15:04:21
271,286,22,B,3714,16510.1015,2024-01-25,2024-01-25 15:57:46
272,305,20,S,2848,31437.7552,2024-10-05,2024-10-05 15:56:20
273,75,42,B,479,24012.7385,2024-01-12,2024-01-12 15:03:46
274,87,13,B,830,37289.4491,2024-06-07,2024-06-07 16:10:27
275,301,9,S,3524,42384.8597,2024-09-14,2024-09-14 09:29:47
276,368,44,B,4070,24274.8708,2024-08-27,2024-08-27 16:47:20
277,268,52,B,1329,8582.1527,2024-09-11,2024-09-11 10:01:43
278,323,17,B,3526,39570.084,2024-11-02,2024-11-02 08:40:52
279,319,8,S,3091,11240.9367,2023-06-21,2023-06-21 10:44:26
280,27,14,S,247,40812.8774,2024-03-16,2024-03-16 13:45:30
281,244,40,B,1765,27305.8645,2023-02-18,2023-02-18 09:34:29
282,91,60,S,985,10469.4789,2024-10-17,2024-10-17 15:31:33
283,103,1,S,563,46231.9123,2024-09-21,2024-09-21 16:13:09
284,117,20,B,382,45933.0904,2023-05-04,2023-05-04 08:07:01
285,5,26,S,3049,26216.7864,2023-02-10,2023-02-10 11:37:32
286,45,23,B,3235,34478.8078,2024-07-01,2024-07-01 15:27:53
287,28,8,B,3605,48755.1001,2024-01-15,2024-01-15 13:57:59
288,92,14,B,4094,2675.129,2023-05-28,2023-05-28 14:13:23
289,61,16,B,4997,12247.0766,2023-01-04,2023-01-04 10:31:44
290,340,18,B,4034,18434.3154,2023-09-12,2023-09-12 14:07:44
291,341,19,B,4453,915.1023,2024-11-30,2024-11-30 12:04:30
292,266,6,S,4575,7096.2384,2024-05-02,2024-05-02 15:23:05
293,217,51,B,1962,13346.3048,2023-05-19,2023-05-19 12:47:30
294,293,17,B,2767,26764.759,2024-04-17,2024-04-17 15:30:55
295,324,50,S,2324,19087.3631,2024-03-06,2024-03-06 09:48:14
296,286,8,S,4067,20755.1505,2023-12-31,2023-12-31 15:29:13
297,236,12,B,3838,15324.8158,2023-10-30,2023-10-30 17:46:29
298,146,14,B,4009,10656.4919,2024-10-15,2024-10-15 12:54:47
299,346,1,B,742,24468.3251,2023-01-25,2023-01-25 16:59:01
300,329,39,B,2662,11033.8833,2023-02-14,2023-02-14 11:34:59
301,221,60,B,3357,33469.1223,2024-09-10,2024-09-10 15:01:50
302,81,42,B,848,8785.7242,2024-11-15,2024-11-15 12:44:11
303,272,34,B,703,46394.2496,2023-06-10,2023-06-10 11:03:11
304,45,45,B,794,48615.7748,2023-12-30,2023-12-30 09:19:32
305,192,58,S,2598,7356.9352,2024-10-31,2024-10-31 09:20:38
306,196,34,S,264,28447.7202,2024-02-21,2024-02-21 11:03:29
307,224,50,S,3776,10578.4084,2023-09-30,2023-09-30 08:23:21
308,137,25,B,1526,29466.5949,2023-08-12,2023-08-12 08:26:20
309,328,24,B,2033,41166.5692,2023-05-12,2023-05-12 11:44:14
310,186,8,B,1237,19257.3674,2024-08-11,2024-08-11 10:57:23
311,203,22,B,4235,9801.7888,2024-05-04,2024-05-04 16:57:04
312,362,12,S,3946,14200.3441,2024-08-08,2024-08-08 13:37:15
313,285,4,S,949,25468.1533,2023-05-14,2023-05-14 11:13:35
314,314,27,B,3069,31477.3331,2023-10-10,2023-10-10 09:45:26
315,223,25,B,3217,18952.9602,2024-04-08,2024-04-08 10:13:44
316,163,48,B,3561,15899.4775,2023-10-06,2023-10-06 15:24:06
317,165,38,B,1960,30733.9011,2024-07-25,2024-07-25 12:44:17
318,44,34,B,3808,16409.4098,2024-08-09,2024-08-09 15:14:33
319,58,6,B,1318,46292.9619,2024-07-31,2024-07-31 08:48:17
320,70,18,B,1832,29629.2988,2024-03-18,2024-03-18 17:53:39
321,135,55,S,3784,18961.9221,2023-10-11,2023-10-11 16:39:01
322,286,34,B,530,15924.3972,2023-06-28,2023-06-28 09:41:01
323,172,33,B,3539,21117.1119,2024-08-21,2024-08-21 10:18:05
324,237,37,B,3543,40704.5045,2023-03-27,2023-03-27 11:27:27
325,243,26,S,4550,20232.7229,2024-10-17,2024-10-17 12:57:44
326,72,5,S,1840,48726.9499,2024-05-21,2024-05-21 17:31:45
327,380,36,B,3537,25406.8826,2023-11-11,2023-11-11 16:48:27
328,30,33,S,528,9796.5057,2023-03-07,2023-03-07 10:08:12
329,315,49,B,808,46748.9264,2024-05-20,2024-05-20 08:27:56
330,147,22,B,1535,49199.0411,2024-05-23,2024-05-23 11:02:25
331,153,21,S,3578,17668.7086,2023-06-02,2023-06-02 09:15:33
332,162,17,S,1818,23494.1951,2024-09-11,2024-09-11 16:04:50
333,86,14,B,991,2985.6331,2024-04-24,2024-04-24 16:29:20
334,47,5,B,3926,12505.0306,2024-07-23,2024-07-23 12:55:28
335,228,21,B,3297,8507.7423,2024-09-15,2024-09-15 17:58:39
336,306,58,S,714,21553.714,2024-08-08,2024-08-08 09:53:29
337,97,29,B,4542,31691.5772,2024-03-04,2024-03-04 11:34:47
338,27,26,B,1105,23660.7806,2023-03-27,2023-03-27 10:34:39
339,297,51,S,1197,40281.9651,2023-09-22,2023-09-22 13:21:31
340,309,22,B,1783,7591.325,2023-04-30,2023-04-30 17:17:54
341,260,14,B,4429,2400.0503,2024-09-14,2024-09-14 15:56:23
342,26,3,B,4142,17669.5582,2024-02-16,2024-02-16 17:20:31
343,127,6,S,80,42886.9695,2023-06-21,2023-06-21 16:18:12
344,132,45,B,1233,14231.6295,2023-03-19,2023-03-19 16:43:46
345,338,45,S,3680,15311.8491,2023-02-18,2023-02-18 12:10:33
346,286,22,S,1306,2365.7017,2024-01-12,2024-01-12 11:22:24
347,303,58,B,2077,38631.6623,2023-01-03,2023-01-03 12:24:18
348,358,9,B,1183,28422.6487,2024-06-19,2024-06-19 11:16:33
349,136,36,B,3711,4843.6675,2024-06-14,2024-06-14 15:46:17
350,289,46,S,4717,11918.3221,2023-02-21,2023-02-21 13:54:42
351,219,52,B,505,42216.1862,2024-07-20,2024-07-20 09:26:53
352,74,14,S,4738,47660.4744,2024-03-16,2024-03-16 16:54:14
353,276,41,S,1804,16863.2569,2024-03-27,2024-03-27 09:12:02
354,185,34,S,4556,23780.567,2024-06-03,2024-06-03 11:03:47
355,214,14,S,4856,31337.7529,2023-07-14,2023-07-14 17:18:36
356,188,7,S,1351,42676.8619,2024-04-20,2024-04-20 10:10:11
357,322,11,S,4393,34077.058,2024-03-31,2024-03-31 17:06:46
358,25,38,B,4354,48235.6912,2024-01-25,2024-01-25 08:08:45
359,304,13,B,2048,29585.9152,2023-01-23,2023-01-23 16:35:19
360,224,50,S,2871,9703.1455,2023-11-14,2023-11-14 10:31:21
361,265,49,B,3152,25715.1762,2024-08-02,2024-08-02 15:36:30
362,329,58,S,1371,2139.8363,2024-05-31,2024-05-31 17:11:34
363,302,23,S,2918,30547.5908,2024-07-31,2024-07-31 11:07:16
364,25,9,B,1336,7499.4883,2023-09-15,2023-09-15 09:06:43
365,33,59,S,4787,5074.9251,2023-01-12,2023-01-12 08:21:53
366,181,55,B,506,35410.4945,2023-10-01,2023-10-01 11:29:40
367,6,2,B,1820,18737.6448,2023-10-12,2023-10-12 14:45:36
368,322,55,B,2639,5860.1522,2024-09-18,2024-09-18 10:37:12
369,217,49,S,3853,7602.4255,2024-02-20,2024-02-20 17:30:19
370,352,16,S,155,19644.3411,2023-04-05,2023-04-05 14:54:30
371,370,13,B,572,11966.9632,2024-11-20,2024-11-20 17:47:33
372,196,54,S,3405,41742.0617,2024-08-10,2024-08-10 12:54:16
373,46,18,B,1506,33815.1628,2024-06-30,2024-06-30 16:13:16
374,2,24,B,2986,29241.0666,2023-02-23,2023-02-23 17:00:03
375,209,3,B,2681,24391.9425,2024-09-20,2024-09-20 12:45:21
376,284,47,B,3846,25938.2826,2024-02-05,2024-02-05 17:03:14
377,176,7,S,2827,46474.0503,2023-01-25,2023-01-25 14:49:25
